Dataset,Method,Model,Kappa,Accuracy,ROC-AUC,F1-Score,Sensitivity,Specificity,Precision
HEALTHY MT-HEALTHY WT-BRCA,Random Forest,GA,0.4565217391304347,0.6666666666666666,0.866494708994709,0.6555555555555554,0.6158730158730159,0.8166666666666668,0.7238095238095238
HEALTHY MT-HEALTHY WT-BRCA,XGBoost,GA,0.5774647887323944,0.7333333333333333,0.8277248677248679,0.7167521367521368,0.6825396825396824,0.8638888888888889,0.726984126984127
HEALTHY MT-HEALTHY WT-BRCA,Light GBM,GA,0.5522388059701493,0.7333333333333333,0.9398148148148149,0.6511111111111112,0.6190476190476191,0.85,0.5880952380952381
HEALTHY MT-HEALTHY WT-BRCA,Gradient Boosting,GA,0.6739130434782609,0.8,0.9424074074074075,0.8,0.7746031746031745,0.8833333333333333,0.8166666666666667
HEALTHY MT-HEALTHY WT-BRCA,Ada Boost,GA,0.5833333333333334,0.7333333333333333,0.9041005291005292,0.7275213675213675,0.746031746031746,0.8583333333333334,0.7816666666666667
HEALTHY MT-HEALTHY WT-BRCA,Random Forest,PSO,0.3382352941176471,0.6,0.8276719576719577,0.5384615384615384,0.5047619047619047,0.7833333333333333,0.5
HEALTHY MT-HEALTHY WT-BRCA,XGBoost,PSO,0.3661971830985915,0.6,0.8501587301587302,0.6015873015873014,0.5682539682539682,0.7916666666666666,0.7214814814814815
HEALTHY MT-HEALTHY WT-BRCA,Light GBM,PSO,0.20454545454545459,0.5333333333333333,0.7564814814814814,0.5226579520697168,0.4825396825396826,0.725,0.6
HEALTHY MT-HEALTHY WT-BRCA,Gradient Boosting,PSO,-0.00746268656716409,0.4,0.714100529100529,0.3533333333333334,0.3428571428571428,0.6583333333333333,0.31785714285714284
HEALTHY MT-HEALTHY WT-BRCA,Ada Boost,PSO,0.2808219178082191,0.5333333333333333,0.6886507936507936,0.5333333333333333,0.565079365079365,0.7555555555555555,0.5561904761904762
HEALTHY MT-HEALTHY WT-BRCA,Random Forest,ALL,0.5522388059701493,0.7333333333333333,0.8875793650793651,0.6511111111111112,0.6190476190476191,0.85,0.5880952380952381
HEALTHY MT-HEALTHY WT-BRCA,XGBoost,ALL,0.4565217391304347,0.6666666666666666,0.8278306878306879,0.6111111111111112,0.5714285714285715,0.8222222222222223,0.5714285714285714
HEALTHY MT-HEALTHY WT-BRCA,Light GBM,ALL,0.6739130434782609,0.8,0.9695767195767195,0.7777777777777779,0.7301587301587302,0.8916666666666666,0.8380952380952381
HEALTHY MT-HEALTHY WT-BRCA,Gradient Boosting,ALL,0.47916666666666663,0.6666666666666666,0.8805820105820105,0.6741258741258741,0.6603174603174603,0.8305555555555554,0.6888888888888889
HEALTHY MT-HEALTHY WT-BRCA,Ada Boost,ALL,0.3571428571428572,0.6,0.9019047619047619,0.5923076923076923,0.5682539682539682,0.7833333333333333,0.6777777777777777
HEALTHY WT-BRCA,Random Forest,GA,0.3298969072164949,0.6153846153846154,0.7361111111111112,0.6153846153846154,0.7222222222222222,0.7222222222222222,0.8290598290598291
HEALTHY WT-BRCA,XGBoost,GA,0.3298969072164949,0.6153846153846154,0.6388888888888888,0.6153846153846154,0.7222222222222222,0.7222222222222222,0.8290598290598291
HEALTHY WT-BRCA,Light GBM,GA,0.5517241379310345,0.7692307692307693,0.8888888888888888,0.7776223776223776,0.8333333333333333,0.8333333333333333,0.868131868131868
HEALTHY WT-BRCA,Gradient Boosting,GA,0.36585365853658547,0.6923076923076923,0.7916666666666667,0.7038461538461539,0.7083333333333333,0.7083333333333333,0.7472527472527472
HEALTHY WT-BRCA,Ada Boost,GA,0.36585365853658547,0.6923076923076923,0.75,0.7038461538461539,0.7083333333333333,0.7083333333333333,0.7472527472527472
HEALTHY WT-BRCA,Random Forest,PSO,0.3298969072164949,0.6153846153846154,0.7222222222222222,0.6153846153846154,0.7222222222222222,0.7222222222222222,0.8290598290598291
HEALTHY WT-BRCA,XGBoost,PSO,0.3298969072164949,0.6153846153846154,0.8333333333333333,0.6153846153846154,0.7222222222222222,0.7222222222222222,0.8290598290598291
HEALTHY WT-BRCA,Light GBM,PSO,0.3298969072164949,0.6153846153846154,0.9444444444444444,0.6153846153846154,0.7222222222222222,0.7222222222222222,0.8290598290598291
HEALTHY WT-BRCA,Gradient Boosting,PSO,0.2528735632183907,0.6153846153846154,0.7777777777777777,0.6293706293706294,0.6527777777777778,0.6527777777777778,0.7087912087912087
HEALTHY WT-BRCA,Ada Boost,PSO,0.23529411764705888,0.5384615384615384,0.5833333333333334,0.521978021978022,0.6666666666666666,0.6666666666666666,0.8153846153846154
HEALTHY WT-BRCA,Random Forest,ALL,0.3298969072164949,0.6153846153846154,0.9166666666666666,0.6153846153846154,0.7222222222222222,0.7222222222222222,0.8290598290598291
HEALTHY WT-BRCA,XGBoost,ALL,0.23529411764705888,0.5384615384615384,0.861111111111111,0.521978021978022,0.6666666666666666,0.6666666666666666,0.8153846153846154
HEALTHY WT-BRCA,Light GBM,ALL,0.3298969072164949,0.6153846153846154,0.5833333333333333,0.6153846153846154,0.7222222222222222,0.7222222222222222,0.8290598290598291
HEALTHY WT-BRCA,Gradient Boosting,ALL,0.15217391304347827,0.5384615384615384,0.6111111111111112,0.5494505494505494,0.5972222222222222,0.5972222222222222,0.6692307692307692
HEALTHY WT-BRCA,Ada Boost,ALL,0.15217391304347827,0.5384615384615384,0.6666666666666667,0.5494505494505494,0.5972222222222222,0.5972222222222222,0.6692307692307692
HEALTHY MT-BRCA,Random Forest,GA,0.25,0.625,0.65625,0.6190476190476191,0.625,0.625,0.6333333333333333
HEALTHY MT-BRCA,XGBoost,GA,0.5,0.75,0.8125,0.7333333333333334,0.75,0.75,0.8333333333333333
